id,real_age,user_setage,gender,playcard_level,playcard_point,playcard_coupon_num,is_push_open,utm_channel,signup_day,app_version,manufacturer,model,label,add_all_num,add_under_18_num,add_under_30_num,add_under_setage_num,view_all_num,view_under_18_num,view_under_30_num,view_under_setage_num,msg_all_num,msg_under_18_num,msg_under_30_num,msg_under_setage_num,gift_all_num,gift_under_18_num,gift_under_30_num,gift_under_setage_num,total_day,work_day_rate,weekend_day_rate,avg_early_hour,avg_last_hour
32304,27,0,2,36,300,0,1,3,623,23,100,1718,0,29,0,24,1,1815,59,1207,138,75,0,58,1,75,2,55,2,27,0.704,0.296,0.704,21.481
33857,23,0,1,62,700,20,1,,607,9,90,237,0,386,20,257,38,5142,275,2663,836,749,43,441,100,218,14,125,32,21,0.714,0.286,2.667,20.381
14741,19,0,2,48,600,10,1,,2077,106,90,1189,0,23,0,17,0,752,22,513,50,60,3,46,3,54,3,41,3,18,0.778,0.222,9.833,19.222
16684,,,1,,,,1,,644,68,216,1046,0,55,0,30,3,5095,143,2769,554,138,2,70,8,97,0,55,3,31,0.71,0.29,3.871,22.226
33746,27,0,2,64,800,60,1,7,639,68,100,1786,0,127,5,63,13,3268,98,1919,330,323,10,198,21,219,7,112,37,28,0.75,0.25,0.964,22.179
7659,19,0,2,69,300,0,1,,299,68,100,2121,0,280,3,167,10,8252,156,4843,822,352,5,213,25,110,4,69,9,59,0.644,0.356,4.492,22
32369,58,0,2,68,100,0,1,,568,68,62,2036,0,83,0,50,5,9623,309,6211,791,192,4,132,10,106,4,68,11,27,0.741,0.259,2.185,21.593
20629,20,0,1,59,800,0,1,7,321,23,118,492,0,97,4,17,39,1605,88,564,559,224,9,46,86,311,16,85,117,28,0.786,0.214,6.607,21.071
21281,19,0,1,24,600,10,1,7,1582,106,90,2135,,102,1,57,9,2572,50,1520,196,172,3,103,13,106,1,66,5,11,0.727,0.273,7.182,18.273
36706,33,,2,61,900,10,1,,525,9,90,1892,0,75,2,44,9,361,5,204,27,18,0,7,3,11,0,5,0,19,0.737,0.263,8.579,14.684
25641,26,0,2,75,500,10,1,43,641,68,216,2280,0,71,3,47,2,2051,37,1283,98,138,7,86,8,126,3,80,15,25,0.8,0.2,1.12,22.56
13098,30,0,2,61,900,0,0,,719,68,216,1462,0,26,2,15,1,847,23,468,88,99,2,48,8,119,0,54,8,30,0.7,0.3,3.733,22.533
20371,28,0,1,66,900,10,1,,299,68,219,1720,0,37,2,19,5,1276,35,613,234,75,5,30,16,92,7,45,14,27,0.778,0.222,3.815,22.333
19300,18,0,1,73,400,10,1,,2079,106,90,237,0,44,2,27,4,1602,58,919,184,51,1,28,4,32,0,18,0,24,0.708,0.292,0.5,22.375
20101,23,0,1,34,800,10,1,43,600,29,110,159,0,134,4,86,10,7481,233,4334,984,286,15,164,43,452,15,265,59,26,0.769,0.231,2.692,21.923
29798,34,1,2,13,600,0,0,,412,74,216,85,1,52,2,21,8,219,8,90,41,27,0,13,5,5,0,0,1,12,0.917,0.083,15.417,17
17140,46,1,2,71,800,180,1,,294,106,90,2279,0,92,2,50,6,1810,48,1003,158,176,2,82,12,248,2,134,20,40,0.75,0.25,1.6,22.675
26181,27,0,1,80,600,0,1,,650,106,90,1444,0,238,5,143,29,4262,103,2490,462,324,14,187,41,307,6,170,37,26,0.692,0.308,4.885,21.308
26158,37,0,2,49,100,0,1,7,472,23,62,830,0,185,9,75,34,2065,101,766,485,241,12,71,55,122,11,37,38,15,0.733,0.267,6.267,19.733
26564,26,0,2,74,700,280,1,,570,68,62,2219,0,48,1,27,2,905,21,508,72,97,2,52,3,53,1,26,2,27,0.741,0.259,1.815,22.519
13090,30,0,1,49,200,10,1,43,719,68,216,1934,0,50,3,35,4,2136,38,1304,105,60,7,37,7,115,5,68,7,28,0.643,0.357,4.786,20.643
23032,41,0,1,5,500,30,1,,1315,29,100,365,0,16,0,10,2,1328,20,811,56,29,0,16,2,51,0,33,3,24,0.667,0.333,8.375,17.375
17869,20,0,1,68,700,0,1,,612,68,219,2020,1,47,3,29,3,3033,88,1629,442,70,5,41,10,30,1,19,5,11,0.727,0.273,3.818,19
29353,40,0,2,30,700,0,1,,1575,66,62,335,1,236,18,107,42,5981,295,2796,1060,265,17,127,42,182,14,82,29,26,0.885,0.115,2.885,22.231
29163,19,0,1,13,500,0,1,43,602,30,90,782,0,82,3,59,8,3294,126,2169,270,190,11,136,19,138,8,103,8,16,0.75,0.25,3.688,13.75
24502,28,0,2,50,800,50,0,43,580,30,90,782,0,50,1,30,11,710,20,435,62,52,0,37,3,78,1,55,2,35,0.686,0.314,3.143,22.629
19668,31,0,1,13,100,0,1,,491,73,216,2150,0,7,0,4,0,425,8,277,22,10,0,6,0,9,0,7,0,3,0.666,0.333,6,12.667
13551,29,,2,72,200,10,1,7,317,68,49,643,0,26,1,16,1,2105,58,1213,173,143,2,85,13,150,2,94,10,28,0.679,0.321,2.857,21.429
12309,28,0,1,64,100,110,0,32,386,68,100,1583,0,55,0,27,2,1991,26,1211,127,115,1,66,0,162,1,73,13,27,0.778,0.222,1.926,21.481
20489,32,0,1,33,200,120,0,,559,23,100,11,0,113,6,63,14,1099,42,587,154,119,8,63,19,74,3,41,11,28,0.75,0.25,3.036,18.857
17804,25,,1,57,400,20,1,7,35,73,110,68,0,36,1,18,5,617,17,341,101,79,3,33,21,45,0,21,6,0,0,0,0,0
8037,23,,2,8,600,0,1,,260,29,62,791,0,4,0,2,0,166,4,110,9,6,0,3,0,6,0,4,0,5,0.6,0.4,5.6,17.4
33023,24,0,1,66,0,10,0,43,636,106,90,1402,0,278,13,165,57,5796,290,2769,1304,486,27,242,120,359,16,200,73,16,0.687,0.312,0.375,22.5
16907,57,1,2,16,900,140,1,14,44,66,62,86,1,57,3,13,12,252,8,78,66,42,0,6,13,31,1,4,12,10,0.6,0.4,13.1,18.3
20844,21,,2,6,200,0,1,,79,23,62,2269,1,2,0,0,0,5,2,2,2,1,1,1,1,4,1,1,1,1,0.999,0,18,19
31493,22,1,2,80,400,0,1,43,81,73,62,1901,0,291,8,104,73,4893,195,2053,1260,307,8,98,91,322,10,102,124,18,0.778,0.222,6.944,21.333
19460,24,,2,41,500,160,1,43,72,106,90,1610,0,57,1,37,6,1786,60,1096,165,161,5,95,20,83,4,58,12,8,0.75,0.25,1.75,19
20546,46,0,2,52,200,0,0,43,731,29,100,2121,0,101,8,53,12,2891,151,1635,369,209,17,114,25,82,7,46,17,32,0.75,0.25,5,22.094
27477,22,0,2,60,400,0,1,,594,68,216,1486,0,103,2,65,8,1667,36,1077,158,53,1,35,3,45,0,24,7,20,0.75,0.25,4.1,14.45
9600,20,0,2,52,500,0,1,43,728,68,62,1016,0,28,1,15,5,893,28,466,140,83,4,41,15,43,0,31,4,34,0.559,0.441,2.912,17.618
13283,19,0,1,96,500,10,1,7,608,59,216,962,0,85,2,41,16,2392,76,1378,277,146,4,70,23,126,4,74,22,35,0.686,0.314,0.457,22.8
21065,19,0,1,66,500,10,1,43,717,68,62,2084,0,55,1,33,3,4158,93,2596,370,99,7,68,12,97,5,62,9,27,0.815,0.185,1.889,22.185
19470,31,,1,70,0,140,1,,172,68,216,1562,0,5,0,2,0,907,15,476,110,33,0,17,3,32,0,17,3,32,0.75,0.25,5.969,21.656
11024,19,0,2,71,0,0,1,43,608,106,90,782,0,195,7,148,19,6880,304,4583,619,316,12,224,36,157,5,110,15,24,0.75,0.25,3.208,20.542
35262,23,0,1,64,600,0,1,,895,68,62,1447,0,13,0,11,1,1635,49,902,206,49,0,32,2,61,1,45,3,28,0.643,0.357,6.143,20.786
36321,33,0,2,71,700,0,0,,468,106,90,1610,0,218,6,125,18,3428,53,1886,220,208,5,105,17,503,11,252,44,24,0.708,0.292,2,20.958
20997,22,0,1,54,500,10,1,43,683,68,216,1985,0,23,0,13,2,2902,67,1854,256,78,2,49,6,186,4,131,15,30,0.767,0.233,1.133,22.067
24938,41,1,1,9,900,0,1,,613,29,216,616,1,6,0,0,5,393,29,156,95,29,1,8,9,14,1,1,8,5,0.8,0.2,9.8,12.4
22527,,0,2,66,0,100,1,43,599,106,90,782,0,53,0,29,3,1524,42,927,147,78,2,47,9,79,2,42,8,26,0.846,0.154,4.808,19.5
23937,22,0,2,70,600,10,1,7,570,68,216,1211,0,41,0,25,2,1672,27,1055,86,115,0,77,6,67,0,49,3,31,0.806,0.194,6.742,19.935
9897,20,0,2,71,700,420,1,,751,73,62,621,0,174,5,107,11,18300,584,11694,1806,1211,28,803,95,168,5,117,7,34,0.676,0.324,4.588,22
11321,20,,1,81,600,0,1,,442,106,90,782,0,105,3,68,5,1565,30,1062,80,80,2,57,4,101,1,73,1,17,0.647,0.353,3.647,20.824
10005,26,0,1,25,600,0,1,,601,68,216,145,0,11,2,7,1,2815,75,1684,274,4,0,1,0,37,0,22,2,34,0.647,0.353,3.706,16.765
7979,27,0,2,69,900,0,1,43,731,68,62,1039,0,82,1,48,4,5052,79,2964,276,231,0,131,14,119,1,68,2,59,0.712,0.288,1.763,22.22
16953,34,0,2,30,500,80,0,,227,26,90,2092,0,14,0,10,0,654,12,333,42,48,1,24,2,45,0,21,4,26,0.692,0.308,3.192,22.769
10337,39,0,2,78,800,30,1,7,636,68,62,2111,0,145,14,46,49,10351,471,5339,1818,493,65,136,185,1026,61,602,213,30,0.7,0.3,5.933,22
7479,39,1,2,66,900,0,1,3,68,68,216,1171,,266,26,71,115,1990,163,459,869,155,13,33,80,73,8,22,33,23,0.652,0.348,10.348,18.609
33224,24,0,1,54,600,10,1,43,199,9,90,327,0,40,4,26,4,8590,199,4535,1397,378,17,147,131,512,17,151,218,24,0.708,0.292,2.417,21.708
17376,50,1,1,30,200,360,1,,36,73,216,1462,1,13,0,3,2,26,4,12,6,3,0,0,1,14,2,4,4,3,0.333,0.666,16.667,18
15794,21,0,2,53,300,60,1,,591,73,216,198,0,50,0,35,1,711,11,456,36,75,0,54,2,59,0,37,4,11,0.636,0.364,3.273,20.182
27388,24,0,2,70,700,0,1,43,642,68,62,683,0,64,2,45,2,2201,66,1362,218,123,5,91,11,144,2,92,10,32,0.75,0.25,2.469,21.375
22525,28,0,2,69,300,120,0,43,679,68,100,845,0,94,1,66,0,2804,38,1873,91,127,2,86,2,91,0,57,5,32,0.719,0.281,0.813,22.563
