id,real_age,user_setage,gender,playcard_level,playcard_point,playcard_coupon_num,is_push_open,utm_channel,signup_day,app_version,manufacturer,model,label,add_all_num,add_under_18_num,add_under_30_num,add_under_setage_num,view_all_num,view_under_18_num,view_under_30_num,view_under_setage_num,msg_all_num,msg_under_18_num,msg_under_30_num,msg_under_setage_num,gift_all_num,gift_under_18_num,gift_under_30_num,gift_under_setage_num,total_day,work_day_rate,weekend_day_rate,avg_early_hour,avg_last_hour
29798,0.210526316,1,1,0.013015184,0.666666667,0,0,,0.153788727,0.688679245,0.903361345,0.036777583,1,0.028977273,0.015037594,0.017213115,0.016913319,0.003969771,0.002822865,0.004307663,0.002706092,0.005035832,0,0.004065041,0.002014504,0.001189414,0,0,0.001070664,0.166666667,0.917,0.083,0.670304348,0.739130435
17869,0.026315789,0,0.5,0.072668113,0.777777778,0,1,,0.228443449,0.632075472,0.915966387,0.883975482,1,0.026136364,0.022556391,0.023770492,0.006342495,0.055212601,0.031051517,0.077968698,0.029172992,0.013364323,0.014450867,0.012820513,0.004029009,0.008623253,0.006666667,0.012329656,0.005353319,0.152777778,0.727,0.273,0.166,0.826086957
29353,0.289473684,0,1,0.031453362,0.777777778,0,1,,0.587905935,0.613207547,0.256302521,0.146234676,1,0.133522727,0.135338346,0.087704918,0.088794926,0.108895566,0.104093155,0.133824726,0.069962379,0.051133062,0.049132948,0.03971232,0.016921837,0.053820993,0.093333333,0.0532122,0.031049251,0.361111111,0.885,0.115,0.125434783,0.966565217
16907,0.513157895,1,1,0.01626898,1,0.01314554,1,0.265306122,0.016424039,0.613207547,0.256302521,0.037215412,1,0.031818182,0.022556391,0.010655738,0.025369979,0.0045707,0.002822865,0.003733308,0.004356148,0.00794112,0,0.001876173,0.005237712,0.008920607,0.006666667,0.002595717,0.012847966,0.138888889,0.6,0.4,0.569565217,0.795652174
20844,0.039473684,,1,0.005422993,0.222222222,0,1,,0.029488615,0.20754717,0.256302521,0.992994746,1,0.000568182,0,0,0,7.28E-05,0.000705716,9.57E-05,0.000132004,0,0.002890173,0.000312695,0.000402901,0.000892061,0.006666667,0.000648929,0.001070664,0.013888889,0.999,0,0.782608696,0.826086957
24938,0.302631579,1,0.5,0.00867679,1,0,1,,0.228816723,0.264150943,0.903361345,0.269264448,1,0.002840909,0,0,0.010570825,0.007138305,0.010232886,0.007466616,0.006270213,0.005423204,0.002890173,0.002501563,0.003626108,0.003865596,0.006666667,0.000648929,0.00856531,0.069444444,0.8,0.2,0.426086957,0.539130435
17376,0.421052632,1,0.5,0.031453362,0.222222222,0.033802817,1,,0.01343785,0.679245283,0.903361345,0.63966725,1,0.006818182,0,0.002459016,0.00422833,0.000455249,0.001411433,0.000574355,0.000396013,0.000387372,0,0,0.000402901,0.003865596,0.013333333,0.002595717,0.004282655,0.041666667,0.333,0.666,0.724652174,0.782608696
16607,0.552631579,,0.5,0.030368764,1,0,1,0.12244898,0.075774543,0.273584906,0.193277311,0.918126095,1,0.025,0,0.018032787,0.014799154,0.038113448,0.030345801,0.054659455,0.02118672,0.012008522,0,0.009380863,0.003223207,0.017841213,0.013333333,0.022063595,0.010706638,0.097222222,0.571,0.429,0.074521739,0.925478261
15380,0.342105263,1,0.5,0,0.666666667,0,0,0.857142857,0.098917507,0.264150943,0.415966387,0.369527145,1,0,0,0,0.002114165,1.82E-05,0,0,6.60E-05,0.000193686,0,0,0.000805802,0,0,0,0.001070664,0.013888889,0,0.999,0,0.956521739
34062,0.315789474,,0.5,0.071583514,0.888888889,0,1,,0.08995894,0.632075472,0.457983193,0.121278459,1,0.017613636,0,0.010655738,0.002114165,0.00449786,0.003175723,0.005264921,0.003168108,0.005035832,0,0.003126954,0.001611604,0.010110021,0,0.015574302,0.005353319,0.361111111,0.808,0.192,0.167217391,0.899652174
33494,0.513157895,1,1,0.005422993,0.666666667,0.020657277,1,0.12244898,0.128032848,0.20754717,0.903361345,0.036777583,1,0.014772727,0.022556391,0.009016393,0.025369979,0.000892288,0.001058574,0.000574355,0.001056036,0.003292659,0.00867052,0.002188868,0.00443191,0.00416295,0.013333333,0.003244646,0.006423983,0.055555556,1,0,0.695652174,0.695652174
11795,0.473684211,0,0.5,0.007592191,0.111111111,0,1,0.12244898,0.466592012,0.273584906,0.37394958,0.151926445,1,0.027272727,0.045112782,0.018032787,0.042283298,0.006901575,0.00564573,0.007179438,0.004818164,0.013364323,0.020231214,0.0068793,0.009669621,0.006244425,0.013333333,0.007138222,0.007494647,0.291666667,0.762,0.238,0.465826087,0.894391304
24702,0.223684211,1,1,0.042299349,0.666666667,0,1,,0.202314296,0.264150943,0.256302521,0.968038529,1,0.0625,0.030075188,0.028688525,0.090909091,0.035163434,0.025758645,0.029244244,0.038479308,0.033507651,0.01734104,0.011882427,0.029411765,0.017841213,0.013333333,0.00908501,0.026766595,0.111111111,0.75,0.25,0.266304348,0.831521739
23688,0.263157895,,1,0.002169197,0.555555556,0,1,,0.030608436,0.679245283,0.903361345,0.71497373,1,0.003409091,0.007518797,0.000819672,0.00422833,7.28E-05,0.000352858,4.79E-05,6.60E-05,0.000968429,0.002890173,0.000312695,0.000805802,0,0,0,0,0.069444444,1,0,0.617391304,0.626086957
20554,0.394736842,0,1,0.085683297,0.333333333,0.000938967,1,0.857142857,0.122807018,0.632075472,0.903361345,0.745621716,1,0.10625,0.052631579,0.078688525,0.073995772,0.07464263,0.03810868,0.103718949,0.027192925,0.05171412,0.014450867,0.041588493,0.012087027,0.10793934,0.146666667,0.107073329,0.073875803,0.513888889,0.703,0.297,0.039956522,0.944782609
31339,0.197368421,0,1,0.013015184,0.222222222,0.001877934,0,,0.217991788,0.273584906,0.37394958,0.341943958,1,0.04375,0.015037594,0.039344262,0.014799154,0.055176181,0.026464361,0.086966927,0.016236552,0.036219252,0.01734104,0.037210757,0.008058018,0.035385073,0.006666667,0.043478261,0.011777302,0.430555556,0.806,0.194,0.311347826,0.93126087
8652,0.197368421,,1,0.190889371,0.222222222,0,1,0.12244898,0.005599104,0.679245283,0.256302521,0.994308231,1,0.009659091,0.015037594,0.002459016,0.027484144,0.002931804,0.004940014,0.001340162,0.005214177,0.003680031,0.005780347,0.001250782,0.005640612,0.002081475,0.006666667,0.001297859,0.005353319,0,0,0,0,0
37035,0.315789474,,1,0.085683297,0.777777778,0,1,,0.019036954,0.632075472,0.457983193,0.462784588,1,0.099431818,0.082706767,0.064754098,0.088794926,0.109023036,0.085038814,0.138275978,0.080258729,0.08057331,0.063583815,0.06504065,0.03626108,0.084151056,0.046666667,0.075924724,0.071734475,0.069444444,0.8,0.2,0.382608696,0.8
28335,0.25,0,0.5,0.005422993,0.333333333,0.029107981,1,0.714285714,0.047032475,0.264150943,0.457983193,0.451401051,1,0.027840909,0.015037594,0.016393443,0.021141649,0.021578804,0.021877205,0.021586177,0.013596462,0.021692814,0.028901734,0.009693558,0.009669621,0.040737437,0.033333333,0.038286827,0.020342612,0.416666667,0.733,0.267,0.339130435,0.785521739
26505,0.355263158,0,1,0.065075922,1,0,1,0.12244898,0.20268757,0.632075472,0.256302521,0.574868651,1,0.255681818,0.120300752,0.214754098,0.118393235,0.143895111,0.084333098,0.196525152,0.085736915,0.080185938,0.063583815,0.060350219,0.030217566,0.043116265,0.033333333,0.031797534,0.041755889,0.319444444,0.739,0.261,0.136086957,0.93573913
28568,0.263157895,0,1,0.010845987,0.444444444,0,1,,0.565882792,0.264150943,0.415966387,0.794220665,1,0.040340909,0,0.027868852,0.019027484,0.043631066,0.034580099,0.06226966,0.020262689,0.046290916,0.026011561,0.041275797,0.014907333,0.059470711,0.053333333,0.070084361,0.026766595,0.388888889,0.679,0.321,0.147521739,0.930130435
19832,0.592105263,0,1,0.026030369,0,0,1,,0.213512505,0.632075472,0.903361345,0.457530648,1,0.107386364,0.037593985,0.086885246,0.048625793,0.020194847,0.0151729,0.022399847,0.015906541,0.0218865,0.011560694,0.012820513,0.010878324,0.024680345,0.02,0.020116807,0.019271949,0.277777778,0.6,0.4,0.27173913,0.808695652
14528,0.5,0,1,0.022776573,0.666666667,0,1,,0.571481896,0.075471698,0.37394958,0.61558669,1,0.0625,0.037593985,0.064754098,0.021141649,0.10213967,0.072688779,0.178911597,0.028116956,0.067790045,0.078034682,0.076297686,0.012489927,0.039548023,0.08,0.06229721,0.012847966,0.319444444,0.739,0.261,0.156913043,0.964086957
30560,,,1,,,,1,,0.229936543,0.632075472,0.415966387,0.882661996,1,0.110227273,0.015037594,0.106557377,0.031712474,0.106145862,0.048341567,0.166850141,0.035971223,0.036412938,0.020231214,0.037836148,0.006849315,0.028545941,0.04,0.042180402,0.007494647,0.333333333,0.667,0.333,0.204695652,0.934782609
27457,0.486842105,0,1,0.071583514,0.777777778,0,1,,0.091078761,0.632075472,0.415966387,0.644045534,1,0.052840909,0.037593985,0.025409836,0.050739958,0.120659201,0.108327452,0.130522184,0.112863837,0.033120279,0.020231214,0.014071295,0.023368251,0.062146893,0.073333333,0.058403634,0.066381156,0.375,0.63,0.37,0.299521739,0.933956522
9996,0.671052632,0,1,0.042299349,0.444444444,0.004694836,1,0.040816327,0.008585293,0.264150943,0.415966387,0.492556918,1,0.014204545,0.007518797,0.012295082,0.002114165,0.00934171,0.008115737,0.010386254,0.005742195,0.025179159,0.005780347,0.013445904,0.011684126,0.028545941,0.033333333,0.022063595,0.021413276,0.138888889,0.6,0.4,0.195652174,0.895652174
16777,0.578947368,1,0.5,0.069414317,1,0,1,,0.231802912,0.632075472,0.915966387,0.952714536,1,0.098863636,0.030075188,0.059016393,0.084566596,0.073750341,0.063867325,0.072608051,0.079796713,0.02982762,0.014450867,0.014071295,0.021353747,0.037466548,0.026666667,0.025957171,0.046038544,0.416666667,0.633,0.367,0.127521739,0.940565217
29705,0.368421053,,1,0.061822126,0,0,1,,0.071295259,0.679245283,0.457983193,0.30647986,1,0.046022727,0.030075188,0.02295082,0.029598309,0.025239006,0.033168666,0.031015173,0.019272655,0.03912454,0.046242775,0.03220763,0.016518936,0.033898305,0.046666667,0.038286827,0.029978587,0.25,0.778,0.222,0.372,0.659434783
17210,0.565789474,1,1,0.079175705,0.555555556,0.027230047,1,,0.562150056,0.632075472,0.915966387,0.933887916,1,0.006818182,0,0.004918033,0.00422833,0.032104161,0.043401553,0.051548365,0.014322487,0.015688553,0.026011561,0.015947467,0.003626108,0.016651799,0.046666667,0.022712524,0.00856531,0.5,0.667,0.333,0.260869565,0.938391304
9768,0.210526316,1,0.5,0.015184382,0.111111111,0,1,,0.22135125,0.575471698,0.903361345,0.982924694,1,0.184090909,0.090225564,0.078688525,0.23255814,0.184539743,0.184897671,0.157708323,0.198996766,0.087158629,0.057803468,0.027517198,0.070910556,0.059173357,0.08,0.032446463,0.079229122,0.194444444,0.786,0.214,0.189434783,0.950304348
9573,0.671052632,1,0.5,0.006507592,0.111111111,0,1,,0.217245241,0.273584906,0.37394958,0.035901926,1,0.005681818,0,0.004918033,0,0.001129018,0.000352858,0.001435888,0.000792027,0.002711602,0,0.002188868,0,0.001189414,0,0.000648929,0,0.013888889,0.999,0,0.652173913,0.652173913
24165,0.092105263,,0.5,0.067245119,0.333333333,0.000938967,0,,0.041806644,0.632075472,0.415966387,0.336252189,1,0.034090909,0.015037594,0.016393443,0.044397463,0.036001093,0.038461538,0.030057914,0.041713418,0.035057137,0.031791908,0.013445904,0.024576954,0.069580731,0.12,0.042829332,0.086723769,0.222222222,0.75,0.25,0.133173913,0.964695652
21053,0.092105263,0,1,0.068329718,0.666666667,0.001877934,1,0.857142857,0.606569616,0.990566038,0.37394958,0.704465849,1,0.104545455,0.015037594,0.099180328,0.012684989,0.093763088,0.035991531,0.162159575,0.018150617,0.044547744,0.005780347,0.050343965,0.001208703,0.032114184,0.006666667,0.049318624,0.00856531,0.402777778,0.759,0.241,0.076478261,0.953521739
18914,0.592105263,0,1,0.065075922,0.444444444,0,1,0.12244898,0.145203434,0.632075472,0.256302521,0.320928196,1,0.048863636,0.030075188,0.049180328,0.00845666,0.118747155,0.108327452,0.196429426,0.043495479,0.071082704,0.046242775,0.067854909,0.018533441,0.056497175,0.04,0.082414017,0.014989293,0.444444444,0.781,0.219,0.017652174,0.972826087
30013,0.644736842,,1,0.02494577,0.333333333,0.005633803,1,,0.03098171,0.990566038,0.37394958,0.82793345,1,0.023295455,0,0.018852459,0.00422833,0.014385869,0.012702893,0.023309242,0.006072206,0.01162115,0,0.010631645,0.001611604,0.027356527,0.013333333,0.03504218,0.006423983,0.222222222,0.625,0.375,0.135869565,0.796217391
29819,0.026315789,,0.5,0.007592191,0.333333333,0,1,,0.121313923,0.273584906,0.37394958,0.99737303,1,0.053977273,0.022556391,0.036065574,0.029598309,0.061768187,0.041637262,0.085674628,0.024948848,0.015688553,0.005780347,0.009068168,0.006446414,0.05857865,0.026666667,0.06229721,0.026766595,0.458333333,0.697,0.303,0.303043478,0.895913043
35683,0.118421053,,1,0.001084599,0.666666667,0.002816901,1,0.387755102,0.001119821,0.264150943,0.256302521,0.105516637,1,,,,,0.000273149,0.000352858,9.57E-05,6.60E-05,0.000581058,0,0,0,0.001784121,0,0.001297859,0,0.027777778,0.5,0.5,0.739130435,0.913043478
31583,0.526315789,,1,0.035791757,0.777777778,0,1,,0.082866741,0.20754717,0.256302521,0.992994746,1,0.048863636,0.030075188,0.033606557,0.040169133,0.031521442,0.033168666,0.04178433,0.020526698,0.027697075,0.014450867,0.018136335,0.014101531,0.044603033,0.08,0.048020766,0.031049251,0.138888889,0.7,0.3,0.391304348,0.913043478
9628,0.118421053,1,1,0.055314534,0.222222222,0.000938967,1,,0.30608436,0.632075472,0.903361345,0.25525394,1,0.100568182,0.127819549,0.045901639,0.095137421,0.04201038,0.088567396,0.045086871,0.038215299,0.082122797,0.176300578,0.040337711,0.052780016,0.039548023,0.166666667,0.037637897,0.042826552,0.291666667,0.762,0.238,0.223608696,0.944086957
26270,0.118421053,1,1,0.017353579,0.111111111,0,1,,0.305711086,0.20754717,0.915966387,0.765323993,1,0.021022727,0.030075188,0.017213115,0.012684989,0.03239552,0.03246295,0.052074858,0.016632566,0.013945381,0.020231214,0.013445904,0.003223207,0.013083556,0.033333333,0.01752109,0.006423983,0.375,0.63,0.37,0.169086957,0.813217391
14863,0.460526316,,0.5,0.046637744,0.666666667,0,0,0.12244898,0.008212019,0.632075472,0.415966387,0.793345009,1,0.018181818,0.007518797,0.01147541,0.019027484,0.008394792,0.011997177,0.00885464,0.008778298,0.008328491,0.011560694,0.005315822,0.003626108,0.02259887,0.033333333,0.016223232,0.023554604,0,0,0,0,0
21983,0.355263158,0,1,0.056399132,0.666666667,0.000938967,1,0.857142857,0.156774916,0.990566038,0.37394958,0.341943958,1,0.016477273,0,0.016393443,0.00845666,0.06500956,0.02858151,0.106207821,0.018084615,0.025372845,0.011560694,0.025953721,0.006446414,0.036871841,0.026666667,0.043478261,0.019271949,0.361111111,0.808,0.192,0.02173913,0.989956522
8340,0.25,0,0.5,0.077006508,0.333333333,0.000938967,1,0.857142857,0.223590892,0.990566038,0.37394958,0.142732049,1,0.042613636,0,0.041803279,0.00422833,0.035181644,0.015878617,0.05145264,0.011418388,0.016269611,0,0.015009381,0.000805802,0.046981861,0.02,0.062946139,0.00856531,0.444444444,0.75,0.25,0.067956522,0.981
