id,real_age,user_setage,gender,playcard_level,playcard_point,playcard_coupon_num,is_push_open,utm_channel,signup_day,app_version,manufacturer,model,label,add_all_num,add_under_18_num,add_under_30_num,add_under_setage_num,view_all_num,view_under_18_num,view_under_30_num,view_under_setage_num,msg_all_num,msg_under_18_num,msg_under_30_num,msg_under_setage_num,gift_all_num,gift_under_18_num,gift_under_30_num,gift_under_setage_num
1296,42,,1,23,0,0,0,14,131,66,100,1126,1,49,2,17,20,1202,63,393,417,719,52,113,382,34,4,13,11
30360,24,,2,46,600,0,1,7,206,29,62,936,1,46,6,17,15,2448,97,975,533,123,6,41,38,41,3,13,13
30027,64,0,2,16,0,10,1,,508,26,100,216,1,8,0,4,1,151,9,71,14,16,3,9,3,10,3,6,2
20910,34,0,1,9,600,0,1,7,492,88,90,1077,1,26,0,9,7,226,9,101,42,19,2,4,7,7,1,1,3
1648,23,,1,12,500,100,1,,18,30,90,592,1,6,1,3,0,90,2,29,22,40,2,14,10,105,3,44,15
23544,46,0,1,66,800,0,1,,189,68,110,2276,1,862,17,582,66,5593,182,3196,814,340,13,213,43,253,5,153,36
21541,58,,1,25,900,0,0,,26,29,100,496,1,33,1,24,1,756,5,478,35,40,0,29,0,35,0,27,1
26723,21,1,2,10,400,0,1,,67,73,219,1749,1,98,12,40,22,161,16,71,38,16,2,4,8,5,2,2,4
12242,40,,2,66,0,0,0,,479,106,90,1444,1,66,1,48,1,292,2,185,5,19,0,9,0,17,0,7,0
24307,58,1,1,54,400,0,1,7,106,73,62,86,1,42,3,9,15,890,40,203,315,118,8,18,39,62,1,6,29
35086,38,1,2,49,400,0,1,7,423,68,62,1491,1,91,5,32,21,1413,102,531,411,163,15,58,47,144,6,46,42
4597,66,0,1,68,500,10,1,,528,68,110,2144,1,50,2,8,17,2048,91,549,703,192,6,27,87,177,4,29,76
10491,51,,1,1,300,0,0,,114,29,100,927,1,58,3,28,7,1085,49,537,208,30,1,11,5,17,0,6,0
13606,50,,0,34,200,0,0,,50,106,90,1610,1,23,1,13,0,806,5,505,19,32,0,22,0,67,0,42,2
34292,28,,2,109,700,0,0,,625,68,100,1114,1,106,5,68,9,10886,438,6636,1156,223,5,153,22,140,3,83,16
9132,27,0,2,71,700,10,1,43,464,68,216,1704,1,53,0,29,2,3079,67,1819,238,127,1,83,6,214,6,110,31
26009,26,1,1,70,900,0,1,43,694,68,110,2207,1,159,7,64,36,7943,411,3617,1607,231,12,64,62,142,6,37,41
31663,30,1,2,30,0,0,1,,350,78,100,1617,1,63,2,26,7,1497,63,704,314,76,2,32,13,104,2,54,10
3311,21,,1,11,600,0,1,,29,30,90,327,1,66,0,36,5,875,35,372,225,38,2,17,8,11,1,4,2
13780,64,,1,79,400,0,1,,171,68,62,687,1,163,5,83,29,6874,293,3099,1410,143,12,45,47,132,5,43,41
11925,49,,1,39,500,0,1,43,29,74,100,293,1,139,10,47,46,1588,83,665,413,139,14,36,44,79,8,21,27
28322,34,0,2,15,400,10,0,,106,30,90,1610,1,27,3,12,5,101,9,32,19,36,6,15,6,26,3,8,5
9072,44,1,2,54,100,0,0,3,126,68,40,1118,1,55,3,14,20,488,25,134,180,82,6,16,32,54,5,11,18
5901,28,0,1,20,0,10,1,,1531,66,62,527,1,49,2,31,5,2038,59,1101,275,90,3,42,20,75,9,41,11
10777,45,1,2,25,800,0,1,,144,66,100,1761,1,184,5,44,41,2034,70,597,595,244,10,40,90,43,1,13,12
25346,58,1,2,35,500,30,1,,543,29,62,654,1,104,7,48,22,1045,43,343,297,98,2,14,40,39,1,4,15
15216,67,,0,24,500,0,1,,404,29,100,980,1,5,0,3,1,120,13,55,24,12,1,5,1,12,1,5,2
19031,53,,2,38,900,0,1,,90,68,216,601,1,17,0,11,2,124,1,58,14,29,0,16,4,17,0,9,4
14245,68,1,2,4,500,0,1,,216,62,216,2150,1,18,2,8,2,1348,76,588,228,20,1,6,5,29,3,12,4
16382,38,1,2,38,800,10,1,7,624,68,62,129,1,74,1,56,4,6288,159,4540,347,154,4,107,7,95,1,69,7
17211,72,1,2,59,200,0,1,,274,68,216,639,1,248,14,75,83,7362,362,2593,2239,239,16,60,81,120,7,27,46
10047,50,1,2,35,500,0,1,12,204,68,100,1318,1,152,4,76,34,2308,90,606,905,213,10,37,98,87,0,13,46
16122,64,1,2,9,600,10,0,,636,29,100,706,1,5,0,3,0,159,10,99,12,8,0,5,0,5,0,2,0
13994,47,1,2,29,200,0,0,7,246,68,100,1880,1,28,0,10,7,285,11,123,70,25,0,8,10,16,0,7,4
24574,56,0,1,35,400,320,1,7,197,73,100,1395,1,49,0,19,7,1012,48,396,233,86,3,23,24,64,2,24,14
16940,38,0,2,13,300,0,1,,62,29,100,1880,1,39,1,29,2,605,22,351,68,52,1,35,2,89,6,58,3
15238,59,,2,7,900,10,1,,1504,30,90,1610,1,10,1,9,1,149,5,85,15,14,1,10,1,21,2,15,2
24735,39,0,2,51,400,0,1,,546,68,100,1919,1,107,4,60,12,5663,209,3308,727,267,12,159,42,90,1,59,11
18352,46,,1,19,0,0,1,,483,26,90,1892,1,14,1,7,3,471,30,198,113,23,5,13,6,39,5,15,7
29623,64,,1,35,400,0,1,,477,73,62,1714,1,206,5,56,69,7993,334,2373,2729,347,15,62,138,129,4,22,59
22721,58,1,2,49,0,0,1,43,693,26,90,592,1,55,0,32,3,10851,121,6995,532,72,0,44,2,56,0,33,2
32107,53,,1,7,0,0,1,43,650,53,90,83,1,1,0,0,0,276,17,121,55,1,0,0,0,1,0,0,0
13524,65,0,1,50,300,10,1,,842,73,216,454,1,268,8,155,50,4808,174,2195,1141,992,58,206,507,341,20,208,54
33119,39,,2,36,300,0,1,,335,62,216,1389,1,63,7,24,10,1639,116,847,320,165,8,62,43,128,10,59,20
20417,67,0,2,32,800,0,0,,361,68,100,927,1,49,4,37,1,318,20,194,35,20,3,15,1,14,1,8,1
9327,43,,2,20,900,10,0,,163,66,100,1114,1,17,1,11,1,275,9,134,30,29,1,14,2,31,0,16,4
16013,26,0,1,14,100,0,0,,460,68,47,2098,1,14,0,7,2,563,23,326,72,32,0,20,2,24,0,11,3
5313,74,0,1,26,500,0,1,43,666,64,216,2150,1,64,3,21,32,4285,156,1484,1229,123,2,28,53,258,6,65,92
30052,24,,1,2,600,20,0,,287,29,100,2164,1,3,0,3,0,70,1,45,3,8,0,7,0,14,0,11,0
21601,31,0,2,33,700,0,1,43,409,68,100,1116,1,23,0,15,1,1252,43,826,94,59,2,43,2,44,3,26,4
16777,62,1,1,65,900,0,1,,621,68,219,2177,1,175,4,72,40,4051,181,1517,1209,155,5,45,53,127,4,40,43
21503,22,0,2,17,500,0,1,13,60,68,62,2272,1,91,11,51,9,2174,169,814,604,112,8,56,15,78,4,36,17
12518,66,1,2,28,400,0,1,,75,68,216,962,1,215,7,36,93,2732,144,637,1055,221,8,34,95,93,5,14,50
20701,34,1,2,51,300,0,1,7,42,73,100,1851,1,118,7,59,24,1112,75,536,262,129,14,66,36,99,10,53,19
37035,42,,2,80,700,0,1,,51,68,110,1058,1,176,11,79,42,5988,241,2889,1216,417,22,208,90,284,7,117,67
36379,38,,1,8,300,0,0,,20,29,100,845,1,1,0,0,1,2,0,0,1,1,0,0,1,1,0,0,1
9222,32,0,1,16,500,60,0,7,317,106,90,1444,1,13,0,10,1,759,21,474,50,19,0,13,2,59,0,33,3
6575,56,,1,1,800,90,1,12,229,29,62,1924,1,,,,,56,1,13,7,,,,,,,,
24848,45,1,2,36,100,0,1,7,669,23,216,1462,1,35,1,24,1,4560,119,3011,368,121,4,71,12,164,5,101,21
20110,47,0,2,13,400,10,1,43,505,64,216,2041,1,15,1,9,2,340,11,143,90,25,1,9,9,26,0,7,8
2613,27,,1,44,0,0,0,,445,68,100,323,1,109,0,82,8,3516,147,2059,499,145,4,95,19,122,6,92,10
18197,24,,1,22,700,0,1,,138,23,110,1044,1,326,17,166,59,7547,349,3342,1799,283,19,115,62,230,12,91,64
29443,36,1,2,6,200,0,1,7,392,29,62,687,1,47,1,17,12,117,4,38,25,36,1,10,8,19,0,3,4
4595,39,0,1,37,900,20,1,7,601,68,216,1348,1,29,1,13,5,1625,99,860,259,74,5,46,12,82,6,39,13
12223,32,0,1,25,100,0,1,7,97,29,216,816,1,204,7,67,76,4141,149,1577,1115,199,2,37,87,241,9,124,41
35138,29,,2,77,200,50,1,14,313,68,49,2125,1,39,2,23,3,1548,57,841,207,115,2,69,8,182,4,126,14
21056,39,0,2,62,300,0,1,7,625,106,90,2135,1,120,3,62,16,6220,148,3937,435,174,4,110,13,150,2,87,15
6453,61,1,2,35,200,20,1,,1295,23,100,1318,1,292,13,74,93,4762,314,2437,648,454,41,114,173,133,8,63,29
31753,,,2,,,,1,,800,23,216,1740,1,150,7,49,48,3506,163,1496,845,245,11,85,62,87,4,24,20
23836,55,0,1,20,100,160,1,,228,29,216,1611,1,69,3,9,20,257,14,57,85,82,2,7,32,41,1,8,19
