C,Precision,Recall,Fscore
0.2,0.7416,0.825,0.7895
0.3,0.7588,0.8062,0.7865
0.4,0.7605,0.7938,0.7801
0.6,0.7683,0.7875,0.7797
0.5,0.7636,0.7875,0.7778
0.1,0.7263,0.8125,0.7757
0.7,0.7669,0.7812,0.7754
1.2,0.775,0.775,0.775
0.8,0.7702,0.775,0.7731
1.1,0.7736,0.7688,0.7707
2.5,0.7736,0.7688,0.7707
2.6,0.7736,0.7688,0.7707
1,0.7771,0.7625,0.7683
1.3,0.764,0.7688,0.7669
0.9,0.7722,0.7625,0.7664
2.3,0.7722,0.7625,0.7664
2.4,0.7722,0.7625,0.7664
2.7,0.7722,0.7625,0.7664
3,0.7722,0.7625,0.7664
2,0.7673,0.7625,0.7644
2.2,0.7673,0.7625,0.7644
2.1,0.7707,0.7562,0.7619
2.8,0.7707,0.7562,0.7619
2.9,0.7707,0.7562,0.7619
1.5,0.7658,0.7562,0.76
1.6,0.7658,0.7562,0.76
1.7,0.7658,0.7562,0.76
1.8,0.7658,0.7562,0.76
1.9,0.7658,0.7562,0.76
3.1,0.7658,0.7562,0.76
3.2,0.7658,0.7562,0.76
1.4,0.761,0.7562,0.7581
3.3,0.761,0.7562,0.7581
3.4,0.761,0.7562,0.7581
4.4,0.7485,0.7625,0.7568
4.5,0.7485,0.7625,0.7568
4.6,0.7485,0.7625,0.7568
4.7,0.7485,0.7625,0.7568
3.5,0.7562,0.7562,0.7562
3.6,0.7562,0.7562,0.7562
4.2,0.7516,0.7562,0.7544
4.3,0.7516,0.7562,0.7544
4.8,0.7469,0.7562,0.7525
4.9,0.7469,0.7562,0.7525
5.3,0.7423,0.7562,0.7506
5.4,0.7423,0.7562,0.7506
5.5,0.7423,0.7562,0.7506
5.6,0.7423,0.7562,0.7506
5.7,0.7423,0.7562,0.7506
4.1,0.75,0.75,0.75
5.1,0.7378,0.7562,0.7487
5.2,0.7378,0.7562,0.7487
5.8,0.7378,0.7562,0.7487
5.9,0.7378,0.7562,0.7487
6,0.7378,0.7562,0.7487
6.1,0.7378,0.7562,0.7487
6.2,0.7378,0.7562,0.7487
6.3,0.7378,0.7562,0.7487
6.4,0.7378,0.7562,0.7487
3.9,0.7453,0.75,0.7481
4,0.7453,0.75,0.7481
3.7,0.7532,0.7438,0.7475
3.8,0.7532,0.7438,0.7475
6.5,0.7333,0.7562,0.7469
6.6,0.7333,0.7562,0.7469
6.7,0.7333,0.7562,0.7469
5,0.7407,0.75,0.7463
6.8,0.7317,0.75,0.7426
6.9,0.7317,0.75,0.7426
7,0.7317,0.75,0.7426
7.1,0.7317,0.75,0.7426
17.5,0.7135,0.7625,0.7421
17.6,0.7135,0.7625,0.7421
17.7,0.7135,0.7625,0.7421
17.8,0.7135,0.7625,0.7421
17.9,0.7135,0.7625,0.7421
7.2,0.7273,0.75,0.7408
7.3,0.7273,0.75,0.7408
7.4,0.7273,0.75,0.7408
8,0.7273,0.75,0.7408
18,0.7093,0.7625,0.7403
18.1,0.7093,0.7625,0.7403
18.2,0.7093,0.7625,0.7403
18.3,0.7093,0.7625,0.7403
18.4,0.7093,0.7625,0.7403
15.7,0.716,0.7562,0.7396
15.8,0.716,0.7562,0.7396
15.9,0.716,0.7562,0.7396
16,0.716,0.7562,0.7396
16.1,0.716,0.7562,0.7396
16.2,0.716,0.7562,0.7396
16.3,0.716,0.7562,0.7396
16.4,0.716,0.7562,0.7396
16.5,0.716,0.7562,0.7396
16.6,0.716,0.7562,0.7396
16.7,0.716,0.7562,0.7396
16.8,0.716,0.7562,0.7396
16.9,0.716,0.7562,0.7396
17,0.716,0.7562,0.7396
17.1,0.716,0.7562,0.7396
7.5,0.7229,0.75,0.7389
7.6,0.7229,0.75,0.7389
7.7,0.7229,0.75,0.7389
8.1,0.7229,0.75,0.7389
8.2,0.7229,0.75,0.7389
17.2,0.7118,0.7562,0.7378
17.3,0.7118,0.7562,0.7378
17.4,0.7118,0.7562,0.7378
8.3,0.7186,0.75,0.7371
8.4,0.7186,0.75,0.7371
8.5,0.7186,0.75,0.7371
9.4,0.7186,0.75,0.7371
7.9,0.7256,0.7438,0.7364
18.5,0.7076,0.7562,0.736
18.6,0.7076,0.7562,0.736
15.5,0.7143,0.75,0.7353
15.6,0.7143,0.75,0.7353
7.8,0.7212,0.7438,0.7346
9.8,0.7212,0.7438,0.7346
9.9,0.7212,0.7438,0.7346
10,0.7212,0.7438,0.7346
10.1,0.7212,0.7438,0.7346
10.2,0.7212,0.7438,0.7346
10.3,0.7212,0.7438,0.7346
10.4,0.7212,0.7438,0.7346
10.5,0.7212,0.7438,0.7346
