,C,Precision,Recall,Fscore
1,0.001,0.4996,1.0,0.714
2,0.002,0.5399,0.9482,0.728
3,0.003,0.7081,0.6845,0.6937
4,0.004,0.7622,0.5993,0.6553
5,0.005,0.7748,0.586,0.6493
6,0.006,0.7803,0.581,0.6471
7,0.007,0.7849,0.591,0.6558
8,0.008,0.7863,0.596,0.6599
9,0.009,0.7913,0.6077,0.6699
10,0.01,0.7896,0.6077,0.6694
11,0.011,0.7876,0.6127,0.6724
12,0.012,0.7825,0.6127,0.6709
13,0.013,0.7736,0.616,0.6707
14,0.014,0.7715,0.6144,0.6689
15,0.015,0.764,0.616,0.6677
16,0.016,0.7582,0.6177,0.6672
17,0.017,0.7582,0.6177,0.6672
18,0.018,0.7607,0.621,0.6702
19,0.019,0.756,0.626,0.6722
20,0.02,0.756,0.626,0.6722
21,0.021,0.7525,0.6294,0.6735
22,0.022,0.7545,0.6361,0.6787
23,0.023,0.7539,0.6394,0.6808
24,0.024,0.7549,0.6377,0.6799
25,0.025,0.7534,0.6427,0.6828
26,0.026,0.7495,0.6444,0.6827
27,0.027,0.7466,0.6444,0.6817
28,0.028,0.7485,0.6461,0.6835
29,0.029,0.7437,0.6444,0.6808
30,0.03,0.7432,0.6427,0.6795
31,0.031,0.7427,0.6411,0.6782
32,0.032,0.7418,0.6427,0.679
33,0.033,0.7414,0.6461,0.6811
34,0.034,0.7375,0.6427,0.6775
35,0.035,0.7352,0.6444,0.6779
36,0.036,0.7311,0.6444,0.6765
37,0.037,0.7256,0.6444,0.6746
38,0.038,0.7274,0.6461,0.6763
39,0.039,0.7274,0.6461,0.6763
40,0.04,0.7302,0.6461,0.6773
41,0.041,0.7312,0.6494,0.6798
42,0.042,0.7322,0.6528,0.6824
43,0.043,0.7341,0.6544,0.6841
44,0.044,0.736,0.6561,0.6859
45,0.045,0.7355,0.6544,0.6846
46,0.046,0.7351,0.6578,0.6867
47,0.047,0.7351,0.6578,0.6867
48,0.048,0.7351,0.6578,0.6867
49,0.049,0.7351,0.6578,0.6867
50,0.05,0.7342,0.6594,0.6874
51,0.051,0.7283,0.6578,0.6843
52,0.052,0.7259,0.6544,0.6812
53,0.053,0.7251,0.6561,0.6821
54,0.054,0.7241,0.6528,0.6796
55,0.055,0.7219,0.6544,0.6798
56,0.056,0.7214,0.6528,0.6786
57,0.057,0.7214,0.6528,0.6786
58,0.058,0.7201,0.6528,0.6782
59,0.059,0.7188,0.6528,0.6777
60,0.06,0.7201,0.6528,0.6782
61,0.061,0.7179,0.6544,0.6784
62,0.062,0.7185,0.6561,0.6797
63,0.063,0.7166,0.6544,0.6779
64,0.064,0.7161,0.6528,0.6767
65,0.065,0.7161,0.6528,0.6767
66,0.066,0.7145,0.6477,0.6729
67,0.067,0.7151,0.6494,0.6742
68,0.068,0.7156,0.6511,0.6755
69,0.069,0.7169,0.6511,0.6759
70,0.07,0.7156,0.6511,0.6755
71,0.071,0.7132,0.6477,0.6724
72,0.072,0.7138,0.6494,0.6737
73,0.073,0.7138,0.6494,0.6737
74,0.074,0.7138,0.6494,0.6737
75,0.075,0.7151,0.6494,0.6742
76,0.076,0.7093,0.6477,0.671
77,0.077,0.7112,0.6494,0.6728
78,0.078,0.7099,0.6494,0.6723
79,0.079,0.708,0.6477,0.6705
80,0.08,0.7091,0.6511,0.6731
81,0.081,0.7071,0.6528,0.6735
82,0.082,0.7076,0.6544,0.6747
83,0.083,0.7076,0.6544,0.6747
84,0.084,0.7081,0.6561,0.676
85,0.085,0.7086,0.6578,0.6772
86,0.086,0.7086,0.6578,0.6772
87,0.087,0.7086,0.6578,0.6772
88,0.088,0.7086,0.6578,0.6772
89,0.089,0.7092,0.6594,0.6785
90,0.09,0.7086,0.6578,0.6772
91,0.091,0.7086,0.6578,0.6772
92,0.092,0.7079,0.6594,0.678
93,0.093,0.7074,0.6578,0.6768
