,C,Precision,Recall,Fscore
1,0.1,0.8198,0.7896,0.8014
2,0.2,0.825,0.7947,0.8065
3,0.3,0.829,0.793,0.807
4,0.4,0.8298,0.7813,0.8
5,0.5,0.8316,0.783,0.8017
6,0.6,0.8316,0.783,0.8017
7,0.7,0.8304,0.7846,0.8023
8,0.8,0.8286,0.783,0.8006
9,0.9,0.822,0.7863,0.8002
10,1.0,0.8228,0.783,0.7984
11,1.1,0.8233,0.778,0.7955
12,1.2,0.8245,0.7763,0.7949
13,1.3,0.8251,0.7796,0.7972
14,1.4,0.8274,0.7763,0.796
15,1.5,0.8259,0.7763,0.7954
16,1.6,0.8245,0.7763,0.7949
17,1.7,0.8256,0.7746,0.7942
18,1.8,0.8224,0.773,0.792
19,1.9,0.8235,0.7713,0.7914
20,2.0,0.8229,0.7679,0.789
21,2.1,0.8229,0.7679,0.789
22,2.2,0.8214,0.7679,0.7884
23,2.3,0.8229,0.7679,0.789
24,2.4,0.8229,0.7679,0.789
25,2.5,0.8217,0.7696,0.7896
26,2.6,0.8211,0.7663,0.7873
27,2.7,0.82,0.7679,0.7879
28,2.8,0.8196,0.7663,0.7868
29,2.9,0.8182,0.7663,0.7862
30,3.0,0.8142,0.7679,0.7858
31,3.1,0.8121,0.7646,0.7829
32,3.2,0.8124,0.7663,0.7841
33,3.3,0.8124,0.7663,0.7841
34,3.4,0.8121,0.7646,0.7829
35,3.5,0.8103,0.7629,0.7812
36,3.6,0.8092,0.7646,0.7818
37,3.7,0.8106,0.7646,0.7824
38,3.8,0.8121,0.7646,0.7829
39,3.9,0.8121,0.7646,0.7829
40,4.0,0.8117,0.7629,0.7817
41,4.1,0.8117,0.7629,0.7817
42,4.2,0.8117,0.7629,0.7817
43,4.3,0.8099,0.7613,0.78
44,4.4,0.8085,0.7613,0.7795
45,4.5,0.8082,0.7596,0.7783
46,4.6,0.8099,0.7613,0.78
47,4.7,0.8114,0.7613,0.7806
48,4.8,0.8114,0.7613,0.7806
49,4.9,0.8128,0.7613,0.7811
50,5.0,0.8125,0.7596,0.7799
51,5.1,0.8122,0.7579,0.7787
52,5.2,0.8122,0.7579,0.7787
53,5.3,0.8125,0.7596,0.7799
54,5.4,0.8122,0.7579,0.7787
55,5.5,0.8125,0.7596,0.7799
56,5.6,0.8154,0.7596,0.781
57,5.7,0.8154,0.7596,0.781
58,5.8,0.8154,0.7596,0.781
59,5.9,0.8151,0.7579,0.7798
60,6.0,0.8133,0.7563,0.7781
61,6.1,0.8129,0.7546,0.7769
62,6.2,0.8129,0.7546,0.7769
63,6.3,0.8129,0.7546,0.7769
64,6.4,0.8129,0.7546,0.7769
65,6.5,0.8129,0.7546,0.7769
66,6.6,0.8129,0.7546,0.7769
67,6.7,0.8129,0.7546,0.7769
68,6.8,0.8126,0.7529,0.7757
69,6.9,0.8126,0.7529,0.7757
70,7.0,0.8126,0.7529,0.7757
