,C,Precision,Recall,Fscore
1,0.001,0.831,0.4023,0.5069
2,0.002,0.8333,0.4841,0.5816
3,0.003,0.829,0.5342,0.6228
4,0.004,0.8248,0.5659,0.6472
5,0.005,0.8294,0.5843,0.6626
6,0.006,0.8288,0.606,0.679
7,0.007,0.8318,0.6194,0.6899
8,0.008,0.83,0.6277,0.6955
9,0.009,0.8341,0.6377,0.704
10,0.01,0.8384,0.6494,0.7138
11,0.011,0.8386,0.6594,0.721
12,0.012,0.8372,0.6611,0.7218
13,0.013,0.8372,0.6611,0.7218
14,0.014,0.8368,0.6678,0.7265
15,0.015,0.8375,0.6711,0.729
16,0.016,0.8372,0.6694,0.7277
17,0.017,0.8382,0.6745,0.7317
18,0.018,0.8354,0.6778,0.7331
19,0.019,0.8296,0.6828,0.7348
20,0.02,0.829,0.6878,0.7381
21,0.021,0.828,0.6912,0.7401
22,0.022,0.8263,0.6912,0.7396
23,0.023,0.8267,0.6928,0.7408
24,0.024,0.8263,0.6912,0.7396
25,0.025,0.825,0.6928,0.7402
26,0.026,0.825,0.6928,0.7402
27,0.027,0.825,0.6928,0.7402
28,0.028,0.8228,0.6978,0.7429
29,0.029,0.8228,0.6978,0.7429
30,0.03,0.8212,0.6978,0.7424
31,0.031,0.8225,0.6962,0.7418
32,0.032,0.8228,0.6978,0.7429
33,0.033,0.8245,0.6978,0.7435
34,0.034,0.8251,0.7012,0.746
35,0.035,0.8226,0.7045,0.7474
36,0.036,0.8214,0.7062,0.7482
37,0.037,0.8198,0.7062,0.7476
38,0.038,0.8198,0.7062,0.7476
39,0.039,0.8198,0.7062,0.7476
40,0.04,0.8198,0.7062,0.7476
41,0.041,0.8205,0.7095,0.7501
42,0.042,0.8189,0.7095,0.7496
43,0.043,0.8173,0.7095,0.749
44,0.044,0.8192,0.7112,0.7508
45,0.045,0.8208,0.7112,0.7513
46,0.046,0.8212,0.7129,0.7526
47,0.047,0.8199,0.7145,0.7532
48,0.048,0.8187,0.7162,0.754
49,0.049,0.8156,0.7162,0.7529
50,0.05,0.8156,0.7162,0.7529
51,0.051,0.8144,0.7179,0.7536
52,0.052,0.8125,0.7162,0.7518
53,0.053,0.8125,0.7162,0.7518
54,0.054,0.8125,0.7162,0.7518
55,0.055,0.8125,0.7162,0.7518
56,0.056,0.8125,0.7162,0.7518
57,0.057,0.8125,0.7162,0.7518
58,0.058,0.8125,0.7162,0.7518
59,0.059,0.814,0.7162,0.7524
60,0.06,0.8121,0.7145,0.7506
61,0.061,0.8106,0.7145,0.7501
62,0.062,0.8106,0.7145,0.7501
63,0.063,0.8106,0.7145,0.7501
64,0.064,0.8087,0.7129,0.7484
65,0.065,0.8075,0.7145,0.749
66,0.066,0.8079,0.7162,0.7503
67,0.067,0.806,0.7145,0.7485
68,0.068,0.806,0.7145,0.7485
69,0.069,0.8094,0.7162,0.7508
70,0.07,0.8072,0.7129,0.7478
71,0.071,0.8087,0.7129,0.7484
72,0.072,0.8083,0.7112,0.7471
73,0.073,0.8087,0.7129,0.7484
74,0.074,0.8087,0.7129,0.7484
75,0.075,0.8072,0.7129,0.7478
76,0.076,0.8079,0.7162,0.7503
77,0.077,0.8079,0.7162,0.7503
78,0.078,0.8079,0.7162,0.7503
79,0.079,0.8079,0.7162,0.7503
80,0.08,0.8083,0.7179,0.7515
81,0.081,0.8068,0.7179,0.751
82,0.082,0.8068,0.7179,0.751
83,0.083,0.8068,0.7179,0.751
84,0.084,0.8068,0.7179,0.751
85,0.085,0.8068,0.7179,0.751
86,0.086,0.8068,0.7179,0.751
87,0.087,0.8068,0.7179,0.751
88,0.088,0.8068,0.7179,0.751
89,0.089,0.8071,0.7195,0.7522
90,0.09,0.8083,0.7179,0.7515
91,0.091,0.8083,0.7179,0.7515
92,0.092,0.8086,0.7195,0.7527
93,0.093,0.8086,0.7195,0.7527
94,0.094,0.8075,0.7212,0.7534
95,0.095,0.8083,0.7179,0.7515
96,0.096,0.8083,0.7179,0.7515
97,0.097,0.8083,0.7179,0.7515
98,0.098,0.8056,0.7195,0.7516
99,0.099,0.8071,0.7195,0.7522
100,0.1,0.8071,0.7195,0.7522
101,0.101,0.8075,0.7212,0.7534
102,0.102,0.8075,0.7212,0.7534
103,0.103,0.8075,0.7212,0.7534
104,0.104,0.8078,0.7229,0.7546
105,0.105,0.8093,0.7229,0.7551
106,0.106,0.8093,0.7229,0.7551
107,0.107,0.8063,0.7229,0.7541
108,0.108,0.8063,0.7229,0.7541
109,0.109,0.8063,0.7229,0.7541
110,0.11,0.8063,0.7229,0.7541
111,0.111,0.8048,0.7229,0.7536
112,0.112,0.8033,0.7229,0.753
113,0.113,0.8033,0.7229,0.753
114,0.114,0.8033,0.7229,0.753
115,0.115,0.8037,0.7245,0.7542
116,0.116,0.8041,0.7262,0.7555
117,0.117,0.8044,0.7279,0.7567
118,0.118,0.8044,0.7279,0.7567
119,0.119,0.8044,0.7279,0.7567
120,0.12,0.8029,0.7279,0.7562
121,0.121,0.8029,0.7279,0.7562
122,0.122,0.8029,0.7279,0.7562
123,0.123,0.8015,0.7279,0.7557
124,0.124,0.8015,0.7279,0.7557
125,0.125,0.8015,0.7279,0.7557
126,0.126,0.8015,0.7279,0.7557
127,0.127,0.8015,0.7279,0.7557
128,0.128,0.8,0.7279,0.7551
129,0.129,0.8011,0.7262,0.7544
130,0.13,0.8022,0.7245,0.7537
131,0.131,0.8022,0.7245,0.7537
132,0.132,0.8019,0.7229,0.7526
133,0.133,0.8019,0.7229,0.7526
134,0.134,0.8019,0.7229,0.7526
135,0.135,0.8019,0.7229,0.7526
136,0.136,0.8015,0.7212,0.7513
137,0.137,0.8015,0.7212,0.7513
138,0.138,0.8015,0.7212,0.7513
139,0.139,0.8015,0.7212,0.7513
140,0.14,0.8015,0.7212,0.7513
141,0.141,0.8015,0.7212,0.7513
142,0.142,0.8015,0.7212,0.7513
143,0.143,0.8019,0.7229,0.7526
144,0.144,0.8019,0.7229,0.7526
145,0.145,0.8011,0.7195,0.7501
146,0.146,0.8011,0.7195,0.7501
147,0.147,0.8011,0.7195,0.7501
148,0.148,0.7996,0.7195,0.7495
149,0.149,0.8011,0.7195,0.7501
150,0.15,0.8,0.7212,0.7508
151,0.151,0.8,0.7212,0.7508
152,0.152,0.8,0.7212,0.7508
153,0.153,0.8,0.7212,0.7508
154,0.154,0.7996,0.7195,0.7495
155,0.155,0.8011,0.7195,0.7501
156,0.156,0.8011,0.7195,0.7501
157,0.157,0.8019,0.7229,0.7526
158,0.158,0.8022,0.7245,0.7537
159,0.159,0.8019,0.7229,0.7526
160,0.16,0.8019,0.7229,0.7526
161,0.161,0.803,0.7212,0.7518
162,0.162,0.803,0.7212,0.7518
163,0.163,0.8026,0.7195,0.7506
164,0.164,0.8026,0.7195,0.7506
165,0.165,0.8026,0.7195,0.7506
166,0.166,0.8026,0.7195,0.7506
167,0.167,0.8026,0.7195,0.7506
168,0.168,0.8022,0.7179,0.7494
169,0.169,0.8022,0.7179,0.7494
