,C,Precision,Recall,Fscore
1,0.1,0.8071,0.7195,0.7522
2,0.2,0.8052,0.7179,0.7504
3,0.3,0.8087,0.7129,0.7484
4,0.4,0.8073,0.7062,0.7434
5,0.5,0.8081,0.7028,0.7414
6,0.6,0.8101,0.6978,0.7388
7,0.7,0.809,0.6928,0.735
8,0.8,0.8039,0.6912,0.7323
9,0.9,0.8015,0.6945,0.7337
10,1.0,0.8023,0.6912,0.7317
11,1.1,0.8023,0.6912,0.7317
12,1.2,0.8035,0.6895,0.731
13,1.3,0.8054,0.6912,0.7328
14,1.4,0.8118,0.6912,0.7349
15,1.5,0.8134,0.6912,0.7354
16,1.6,0.8175,0.6878,0.7344
17,1.7,0.8175,0.6878,0.7344
18,1.8,0.8191,0.6878,0.7349
19,1.9,0.8207,0.6878,0.7354
20,2.0,0.8211,0.6895,0.7367
21,2.1,0.8194,0.6895,0.7362
22,2.2,0.826,0.6895,0.7383
23,2.3,0.8257,0.6878,0.737
24,2.4,0.826,0.6895,0.7383
25,2.5,0.8273,0.6878,0.7375
26,2.6,0.826,0.6895,0.7383
27,2.7,0.8273,0.6878,0.7375
28,2.8,0.8303,0.6861,0.7373
29,2.9,0.8286,0.6861,0.7368
30,3.0,0.8306,0.6878,0.7386
31,3.1,0.829,0.6878,0.7381
32,3.2,0.8286,0.6861,0.7368
33,3.3,0.829,0.6878,0.7381
34,3.4,0.829,0.6878,0.7381
35,3.5,0.8286,0.6861,0.7368
36,3.6,0.827,0.6861,0.7363
37,3.7,0.827,0.6861,0.7363
38,3.8,0.8286,0.6861,0.7368
39,3.9,0.8286,0.6861,0.7368
40,4.0,0.8286,0.6861,0.7368
41,4.1,0.827,0.6861,0.7363
42,4.2,0.8233,0.6845,0.734
43,4.3,0.8233,0.6845,0.734
44,4.4,0.8266,0.6845,0.735
45,4.5,0.8266,0.6845,0.735
46,4.6,0.8266,0.6845,0.735
47,4.7,0.8236,0.6861,0.7352
48,4.8,0.8266,0.6845,0.735
49,4.9,0.8266,0.6845,0.735
50,5.0,0.8266,0.6845,0.735
51,5.1,0.8249,0.6845,0.7345
52,5.2,0.8249,0.6845,0.7345
53,5.3,0.8249,0.6845,0.7345
54,5.4,0.8233,0.6845,0.734
55,5.5,0.8233,0.6845,0.734
56,5.6,0.8233,0.6845,0.734
57,5.7,0.8213,0.6828,0.7322
58,5.8,0.8196,0.6828,0.7316
59,5.9,0.8196,0.6828,0.7316
60,6.0,0.8196,0.6828,0.7316
61,6.1,0.8196,0.6828,0.7316
62,6.2,0.8196,0.6828,0.7316
63,6.3,0.8196,0.6828,0.7316
64,6.4,0.8196,0.6828,0.7316
65,6.5,0.8204,0.6861,0.7342
66,6.6,0.8204,0.6861,0.7342
67,6.7,0.8204,0.6861,0.7342
68,6.8,0.8204,0.6861,0.7342
69,6.9,0.8204,0.6861,0.7342
70,7.0,0.8204,0.6861,0.7342
71,7.1,0.8204,0.6861,0.7342
72,7.2,0.8204,0.6861,0.7342
73,7.3,0.8204,0.6861,0.7342
74,7.4,0.8204,0.6861,0.7342
75,7.5,0.8204,0.6861,0.7342
76,7.6,0.8204,0.6861,0.7342
77,7.7,0.822,0.6861,0.7347
78,7.8,0.8204,0.6861,0.7342
79,7.9,0.8204,0.6861,0.7342
80,8.0,0.82,0.6845,0.7329
81,8.1,0.8204,0.6861,0.7342
82,8.2,0.8204,0.6861,0.7342
83,8.3,0.8204,0.6861,0.7342
84,8.4,0.82,0.6845,0.7329
85,8.5,0.822,0.6861,0.7347
86,8.6,0.8216,0.6845,0.7335
87,8.7,0.8216,0.6845,0.7335
88,8.8,0.8216,0.6845,0.7335
89,8.9,0.8216,0.6845,0.7335
90,9.0,0.8216,0.6845,0.7335
91,9.1,0.8216,0.6845,0.7335
92,9.2,0.8216,0.6845,0.7335
93,9.3,0.8233,0.6845,0.734
94,9.4,0.8233,0.6845,0.734
95,9.5,0.8233,0.6845,0.734
96,9.6,0.8213,0.6828,0.7322
97,9.7,0.8213,0.6828,0.7322
98,9.8,0.8226,0.6811,0.7314
99,9.9,0.8206,0.6795,0.7297
100,10.0,0.8206,0.6795,0.7297
101,10.1,0.8219,0.6778,0.7289
102,10.2,0.8198,0.6761,0.7271
103,10.3,0.8198,0.6761,0.7271
104,10.4,0.8215,0.6761,0.7276
105,10.5,0.8219,0.6778,0.7289
106,10.6,0.8198,0.6761,0.7271
107,10.7,0.8215,0.6761,0.7276
108,10.8,0.8219,0.6778,0.7289
109,10.9,0.8215,0.6761,0.7276
110,11.0,0.8215,0.6761,0.7276
111,11.1,0.8215,0.6761,0.7276
112,11.2,0.8228,0.6745,0.7269
113,11.3,0.8235,0.6778,0.7294
114,11.4,0.8215,0.6761,0.7276
115,11.5,0.8219,0.6778,0.7289
116,11.6,0.8232,0.6761,0.7281
117,11.7,0.8232,0.6761,0.7281
118,11.8,0.8232,0.6761,0.7281
119,11.9,0.8232,0.6761,0.7281
120,12.0,0.8228,0.6745,0.7269
121,12.1,0.8232,0.6761,0.7281
122,12.2,0.8228,0.6745,0.7269
123,12.3,0.8228,0.6745,0.7269
124,12.4,0.8228,0.6745,0.7269
125,12.5,0.8228,0.6745,0.7269
126,12.6,0.8228,0.6745,0.7269
127,12.7,0.8228,0.6745,0.7269
128,12.8,0.8228,0.6745,0.7269
129,12.9,0.8228,0.6745,0.7269
130,13.0,0.8228,0.6745,0.7269
131,13.1,0.8228,0.6745,0.7269
132,13.2,0.8228,0.6745,0.7269
133,13.3,0.8228,0.6745,0.7269
134,13.4,0.8228,0.6745,0.7269
135,13.5,0.8228,0.6745,0.7269
136,13.6,0.8228,0.6745,0.7269
137,13.7,0.8228,0.6745,0.7269
138,13.8,0.8228,0.6745,0.7269
139,13.9,0.8228,0.6745,0.7269
140,14.0,0.8228,0.6745,0.7269
141,14.1,0.8232,0.6761,0.7281
142,14.2,0.8232,0.6761,0.7281
143,14.3,0.8232,0.6761,0.7281
144,14.4,0.8232,0.6761,0.7281
145,14.5,0.8232,0.6761,0.7281
146,14.6,0.8232,0.6761,0.7281
147,14.7,0.8232,0.6761,0.7281
148,14.8,0.8232,0.6761,0.7281
149,14.9,0.8232,0.6761,0.7281
150,15.0,0.8228,0.6745,0.7269
151,15.1,0.8232,0.6761,0.7281
152,15.2,0.8232,0.6761,0.7281
153,15.3,0.8232,0.6761,0.7281
154,15.4,0.8232,0.6761,0.7281
155,15.5,0.8232,0.6761,0.7281
156,15.6,0.8228,0.6745,0.7269
157,15.7,0.8228,0.6745,0.7269
158,15.8,0.8232,0.6761,0.7281
159,15.9,0.8228,0.6745,0.7269
160,16.0,0.8228,0.6745,0.7269
161,16.1,0.8228,0.6745,0.7269
162,16.2,0.8228,0.6745,0.7269
163,16.3,0.8228,0.6745,0.7269
164,16.4,0.8245,0.6745,0.7274
165,16.5,0.8245,0.6745,0.7274
166,16.6,0.8245,0.6745,0.7274
167,16.7,0.8245,0.6745,0.7274
168,16.8,0.8228,0.6745,0.7269
169,16.9,0.8228,0.6745,0.7269
170,17.0,0.8228,0.6745,0.7269
171,17.1,0.8228,0.6745,0.7269
172,17.2,0.8224,0.6728,0.7256
173,17.3,0.8224,0.6728,0.7256
174,17.4,0.8208,0.6728,0.7251
175,17.5,0.8224,0.6728,0.7256
176,17.6,0.8224,0.6728,0.7256
177,17.7,0.8224,0.6728,0.7256
178,17.8,0.8224,0.6728,0.7256
179,17.9,0.8208,0.6728,0.7251
180,18.0,0.8211,0.6745,0.7264
181,18.1,0.8208,0.6728,0.7251
182,18.2,0.8208,0.6728,0.7251
183,18.3,0.8211,0.6745,0.7264
184,18.4,0.8211,0.6745,0.7264
185,18.5,0.8208,0.6728,0.7251
186,18.6,0.8208,0.6728,0.7251
187,18.7,0.8211,0.6745,0.7264
188,18.8,0.8211,0.6745,0.7264
189,18.9,0.8208,0.6728,0.7251
190,19.0,0.8211,0.6745,0.7264
191,19.1,0.8208,0.6728,0.7251
192,19.2,0.8208,0.6728,0.7251
193,19.3,0.8211,0.6745,0.7264
194,19.4,0.8211,0.6745,0.7264
195,19.5,0.8211,0.6745,0.7264
196,19.6,0.8211,0.6745,0.7264
197,19.7,0.8211,0.6745,0.7264
198,19.8,0.8211,0.6745,0.7264
199,19.9,0.8211,0.6745,0.7264
200,20.0,0.8211,0.6745,0.7264
201,20.1,0.8211,0.6745,0.7264
202,20.2,0.8211,0.6745,0.7264
203,20.3,0.8211,0.6745,0.7264
204,20.4,0.8211,0.6745,0.7264
205,20.5,0.8211,0.6745,0.7264
206,20.6,0.8211,0.6745,0.7264
207,20.7,0.8211,0.6745,0.7264
208,20.8,0.8211,0.6745,0.7264
209,20.9,0.8211,0.6745,0.7264
210,21.0,0.8208,0.6728,0.7251
211,21.1,0.8211,0.6745,0.7264
212,21.2,0.8211,0.6745,0.7264
213,21.3,0.8208,0.6728,0.7251
214,21.4,0.8208,0.6728,0.7251
215,21.5,0.8208,0.6728,0.7251
216,21.6,0.8211,0.6745,0.7264
217,21.7,0.8211,0.6745,0.7264
218,21.8,0.8211,0.6745,0.7264
219,21.9,0.8211,0.6745,0.7264
220,22.0,0.8208,0.6728,0.7251
221,22.1,0.8211,0.6745,0.7264
222,22.2,0.8211,0.6745,0.7264
223,22.3,0.8211,0.6745,0.7264
224,22.4,0.8211,0.6745,0.7264
225,22.5,0.8211,0.6745,0.7264
226,22.6,0.8208,0.6728,0.7251
227,22.7,0.8211,0.6745,0.7264
228,22.8,0.8211,0.6745,0.7264
229,22.9,0.8208,0.6728,0.7251
230,23.0,0.8211,0.6745,0.7264
231,23.1,0.8211,0.6745,0.7264
232,23.2,0.8224,0.6728,0.7256
233,23.3,0.8211,0.6745,0.7264
234,23.4,0.8224,0.6728,0.7256
235,23.5,0.8211,0.6745,0.7264
236,23.6,0.8208,0.6728,0.7251
237,23.7,0.8211,0.6745,0.7264
238,23.8,0.8211,0.6745,0.7264
239,23.9,0.8208,0.6728,0.7251
240,24.0,0.8224,0.6728,0.7256
241,24.1,0.8224,0.6728,0.7256
242,24.2,0.8208,0.6728,0.7251
243,24.3,0.8211,0.6745,0.7264
244,24.4,0.8211,0.6745,0.7264
245,24.5,0.8211,0.6745,0.7264
246,24.6,0.8208,0.6728,0.7251
247,24.7,0.8211,0.6745,0.7264
248,24.8,0.8211,0.6745,0.7264
249,24.9,0.8224,0.6728,0.7256
250,25.0,0.8224,0.6728,0.7256
251,25.1,0.8224,0.6728,0.7256
252,25.2,0.8224,0.6728,0.7256
253,25.3,0.8211,0.6745,0.7264
254,25.4,0.8211,0.6745,0.7264
255,25.5,0.8211,0.6745,0.7264
256,25.6,0.8208,0.6728,0.7251
257,25.7,0.8211,0.6745,0.7264
258,25.8,0.8224,0.6728,0.7256
259,25.9,0.8224,0.6728,0.7256
260,26.0,0.8208,0.6728,0.7251
261,26.1,0.8208,0.6728,0.7251
262,26.2,0.8208,0.6728,0.7251
263,26.3,0.8208,0.6728,0.7251
264,26.4,0.8211,0.6745,0.7264
265,26.5,0.8211,0.6745,0.7264
266,26.6,0.8224,0.6728,0.7256
267,26.7,0.8208,0.6728,0.7251
268,26.8,0.8224,0.6728,0.7256
269,26.9,0.8208,0.6728,0.7251
270,27.0,0.8208,0.6728,0.7251
271,27.1,0.8208,0.6728,0.7251
272,27.2,0.8208,0.6728,0.7251
273,27.3,0.8211,0.6745,0.7264
274,27.4,0.8211,0.6745,0.7264
275,27.5,0.8224,0.6728,0.7256
276,27.6,0.8208,0.6728,0.7251
277,27.7,0.8208,0.6728,0.7251
278,27.8,0.8208,0.6728,0.7251
279,27.9,0.8208,0.6728,0.7251
280,28.0,0.8208,0.6728,0.7251
281,28.1,0.8208,0.6728,0.7251
282,28.2,0.8224,0.6728,0.7256
283,28.3,0.8224,0.6728,0.7256
284,28.4,0.8211,0.6745,0.7264
285,28.5,0.8208,0.6728,0.7251
286,28.6,0.8224,0.6728,0.7256
287,28.7,0.8224,0.6728,0.7256
288,28.8,0.8208,0.6728,0.7251
289,28.9,0.8208,0.6728,0.7251
290,29.0,0.8211,0.6745,0.7264
291,29.1,0.8208,0.6728,0.7251
292,29.2,0.8211,0.6745,0.7264
293,29.3,0.8208,0.6728,0.7251
294,29.4,0.8208,0.6728,0.7251
295,29.5,0.8224,0.6728,0.7256
296,29.6,0.8208,0.6728,0.7251
297,29.7,0.8208,0.6728,0.7251
298,29.8,0.8208,0.6728,0.7251
299,29.9,0.8211,0.6745,0.7264
300,30.0,0.8208,0.6728,0.7251
301,30.1,0.8224,0.6728,0.7256
302,30.2,0.8211,0.6745,0.7264
303,30.3,0.8211,0.6745,0.7264
304,30.4,0.8211,0.6745,0.7264
305,30.5,0.8224,0.6728,0.7256
306,30.6,0.8224,0.6728,0.7256
307,30.7,0.8211,0.6745,0.7264
308,30.8,0.8208,0.6728,0.7251
309,30.9,0.8211,0.6745,0.7264
310,31.0,0.8224,0.6728,0.7256
311,31.1,0.8208,0.6728,0.7251
312,31.2,0.8224,0.6728,0.7256
313,31.3,0.8208,0.6728,0.7251
314,31.4,0.8224,0.6728,0.7256
315,31.5,0.8208,0.6728,0.7251
316,31.6,0.8224,0.6728,0.7256
317,31.7,0.8208,0.6728,0.7251
318,31.8,0.8224,0.6728,0.7256
319,31.9,0.8224,0.6728,0.7256
320,32.0,0.8224,0.6728,0.7256
321,32.1,0.8224,0.6728,0.7256
322,32.2,0.8224,0.6728,0.7256
323,32.3,0.8208,0.6728,0.7251
324,32.4,0.8224,0.6728,0.7256
325,32.5,0.8208,0.6728,0.7251
326,32.6,0.8224,0.6728,0.7256
327,32.7,0.8224,0.6728,0.7256
328,32.8,0.8208,0.6728,0.7251
329,32.9,0.8224,0.6728,0.7256
330,33.0,0.8224,0.6728,0.7256
331,33.1,0.8224,0.6728,0.7256
332,33.2,0.8208,0.6728,0.7251
333,33.3,0.8224,0.6728,0.7256
334,33.4,0.8224,0.6728,0.7256
335,33.5,0.8224,0.6728,0.7256
336,33.6,0.8224,0.6728,0.7256
337,33.7,0.8224,0.6728,0.7256
338,33.8,0.8208,0.6728,0.7251
339,33.9,0.8224,0.6728,0.7256
340,34.0,0.8224,0.6728,0.7256
341,34.1,0.8224,0.6728,0.7256
342,34.2,0.8228,0.6745,0.7269
343,34.3,0.8224,0.6728,0.7256
344,34.4,0.8224,0.6728,0.7256
345,34.5,0.8224,0.6728,0.7256
346,34.6,0.8224,0.6728,0.7256
347,34.7,0.8224,0.6728,0.7256
348,34.8,0.8224,0.6728,0.7256
349,34.9,0.8224,0.6728,0.7256
350,35.0,0.8224,0.6728,0.7256
351,35.1,0.8224,0.6728,0.7256
352,35.2,0.8224,0.6728,0.7256
353,35.3,0.8224,0.6728,0.7256
354,35.4,0.8224,0.6728,0.7256
355,35.5,0.8224,0.6728,0.7256
356,35.6,0.8224,0.6728,0.7256
357,35.7,0.8224,0.6728,0.7256
358,35.8,0.8224,0.6728,0.7256
359,35.9,0.8224,0.6728,0.7256
360,36.0,0.8224,0.6728,0.7256
361,36.1,0.8224,0.6728,0.7256
362,36.2,0.8224,0.6728,0.7256
363,36.3,0.8224,0.6728,0.7256
364,36.4,0.8224,0.6728,0.7256
365,36.5,0.8224,0.6728,0.7256
366,36.6,0.8224,0.6728,0.7256
367,36.7,0.8224,0.6728,0.7256
368,36.8,0.8224,0.6728,0.7256
369,36.9,0.8224,0.6728,0.7256
370,37.0,0.8224,0.6728,0.7256
371,37.1,0.8224,0.6728,0.7256
372,37.2,0.8224,0.6728,0.7256
373,37.3,0.8224,0.6728,0.7256
374,37.4,0.8224,0.6728,0.7256
375,37.5,0.8224,0.6728,0.7256
376,37.6,0.8224,0.6728,0.7256
377,37.7,0.8224,0.6728,0.7256
378,37.8,0.8224,0.6728,0.7256
379,37.9,0.8224,0.6728,0.7256
380,38.0,0.8224,0.6728,0.7256
381,38.1,0.8224,0.6728,0.7256
382,38.2,0.8224,0.6728,0.7256
383,38.3,0.8224,0.6728,0.7256
384,38.4,0.8224,0.6728,0.7256
385,38.5,0.8224,0.6728,0.7256
386,38.6,0.8224,0.6728,0.7256
387,38.7,0.8224,0.6728,0.7256
388,38.8,0.8224,0.6728,0.7256
389,38.9,0.8224,0.6728,0.7256
390,39.0,0.8224,0.6728,0.7256
391,39.1,0.8224,0.6728,0.7256
392,39.2,0.8224,0.6728,0.7256
393,39.3,0.8224,0.6728,0.7256
394,39.4,0.8224,0.6728,0.7256
395,39.5,0.8224,0.6728,0.7256
396,39.6,0.8228,0.6745,0.7269
397,39.7,0.8224,0.6728,0.7256
398,39.8,0.8224,0.6728,0.7256
399,39.9,0.8224,0.6728,0.7256
400,40.0,0.8224,0.6728,0.7256
401,40.1,0.8224,0.6728,0.7256
402,40.2,0.8224,0.6728,0.7256
403,40.3,0.8221,0.6711,0.7243
404,40.4,0.8224,0.6728,0.7256
405,40.5,0.8224,0.6728,0.7256
406,40.6,0.8224,0.6728,0.7256
407,40.7,0.8224,0.6728,0.7256
408,40.8,0.8224,0.6728,0.7256
409,40.9,0.8224,0.6728,0.7256
410,41.0,0.8224,0.6728,0.7256
411,41.1,0.8224,0.6728,0.7256
412,41.2,0.8224,0.6728,0.7256
413,41.3,0.8224,0.6728,0.7256
414,41.4,0.8224,0.6728,0.7256
