C,Precision,Recall,Fscore
0.1,0.8071,0.7195,0.7522
0.2,0.8052,0.7179,0.7504
0.3,0.8087,0.7129,0.7484
0.4,0.8073,0.7062,0.7434
0.5,0.8081,0.7028,0.7414
0.6,0.8101,0.6978,0.7388
3,0.8306,0.6878,0.7386
2.2,0.826,0.6895,0.7383
2.4,0.826,0.6895,0.7383
2.6,0.826,0.6895,0.7383
3.1,0.829,0.6878,0.7381
3.3,0.829,0.6878,0.7381
3.4,0.829,0.6878,0.7381
2.5,0.8273,0.6878,0.7375
2.7,0.8273,0.6878,0.7375
2.8,0.8303,0.6861,0.7373
2.3,0.8257,0.6878,0.737
2.9,0.8286,0.6861,0.7368
3.2,0.8286,0.6861,0.7368
3.5,0.8286,0.6861,0.7368
3.8,0.8286,0.6861,0.7368
3.9,0.8286,0.6861,0.7368
4,0.8286,0.6861,0.7368
2,0.8211,0.6895,0.7367
3.6,0.827,0.6861,0.7363
3.7,0.827,0.6861,0.7363
4.1,0.827,0.6861,0.7363
2.1,0.8194,0.6895,0.7362
1.5,0.8134,0.6912,0.7354
1.9,0.8207,0.6878,0.7354
4.7,0.8236,0.6861,0.7352
0.7,0.809,0.6928,0.735
4.4,0.8266,0.6845,0.735
4.5,0.8266,0.6845,0.735
4.6,0.8266,0.6845,0.735
4.8,0.8266,0.6845,0.735
4.9,0.8266,0.6845,0.735
5,0.8266,0.6845,0.735
1.4,0.8118,0.6912,0.7349
1.8,0.8191,0.6878,0.7349
7.7,0.822,0.6861,0.7347
8.5,0.822,0.6861,0.7347
5.1,0.8249,0.6845,0.7345
5.2,0.8249,0.6845,0.7345
5.3,0.8249,0.6845,0.7345
1.6,0.8175,0.6878,0.7344
1.7,0.8175,0.6878,0.7344
6.5,0.8204,0.6861,0.7342
6.6,0.8204,0.6861,0.7342
6.7,0.8204,0.6861,0.7342
6.8,0.8204,0.6861,0.7342
6.9,0.8204,0.6861,0.7342
7,0.8204,0.6861,0.7342
7.1,0.8204,0.6861,0.7342
7.2,0.8204,0.6861,0.7342
7.3,0.8204,0.6861,0.7342
7.4,0.8204,0.6861,0.7342
7.5,0.8204,0.6861,0.7342
7.6,0.8204,0.6861,0.7342
7.8,0.8204,0.6861,0.7342
7.9,0.8204,0.6861,0.7342
8.1,0.8204,0.6861,0.7342
8.2,0.8204,0.6861,0.7342
8.3,0.8204,0.6861,0.7342
4.2,0.8233,0.6845,0.734
4.3,0.8233,0.6845,0.734
5.4,0.8233,0.6845,0.734
5.5,0.8233,0.6845,0.734
5.6,0.8233,0.6845,0.734
9.3,0.8233,0.6845,0.734
9.4,0.8233,0.6845,0.734
9.5,0.8233,0.6845,0.734
0.9,0.8015,0.6945,0.7337
8.6,0.8216,0.6845,0.7335
8.7,0.8216,0.6845,0.7335
8.8,0.8216,0.6845,0.7335
8.9,0.8216,0.6845,0.7335
9,0.8216,0.6845,0.7335
9.1,0.8216,0.6845,0.7335
9.2,0.8216,0.6845,0.7335
8,0.82,0.6845,0.7329
8.4,0.82,0.6845,0.7329
1.3,0.8054,0.6912,0.7328
0.8,0.8039,0.6912,0.7323
5.7,0.8213,0.6828,0.7322
9.6,0.8213,0.6828,0.7322
9.7,0.8213,0.6828,0.7322
1,0.8023,0.6912,0.7317
1.1,0.8023,0.6912,0.7317
5.8,0.8196,0.6828,0.7316
5.9,0.8196,0.6828,0.7316
6,0.8196,0.6828,0.7316
6.1,0.8196,0.6828,0.7316
