,C,Precision,Recall,Fscore
1,0.001,0.4996,1.0,0.714
2,0.002,0.5821,0.8998,0.7386
3,0.003,0.6812,0.7062,0.696
4,0.004,0.677,0.7629,0.7261
5,0.005,0.6671,0.7896,0.7356
6,0.006,0.662,0.7913,0.734
7,0.007,0.6616,0.793,0.7346
8,0.008,0.6625,0.7997,0.7385
9,0.009,0.6612,0.808,0.7421
10,0.01,0.6604,0.818,0.7467
11,0.011,0.6565,0.823,0.7472
12,0.012,0.6582,0.8264,0.7498
13,0.013,0.6587,0.828,0.7508
14,0.014,0.6592,0.8331,0.7536
15,0.015,0.6588,0.8381,0.7558
16,0.016,0.6601,0.8331,0.7541
17,0.017,0.6601,0.8331,0.7541
18,0.018,0.6618,0.8297,0.7533
19,0.019,0.6631,0.8314,0.7548
20,0.02,0.664,0.8347,0.7569
21,0.021,0.6662,0.8364,0.7589
22,0.022,0.6658,0.8347,0.7578
23,0.023,0.6644,0.8331,0.7563
24,0.024,0.6614,0.8314,0.7539
25,0.025,0.6622,0.8314,0.7543
26,0.026,0.6609,0.8331,0.7545
27,0.027,0.6579,0.8314,0.7521
28,0.028,0.6622,0.8314,0.7543
29,0.029,0.6605,0.8314,0.7534
30,0.03,0.6667,0.8314,0.7566
31,0.031,0.668,0.8331,0.7581
32,0.032,0.6698,0.8297,0.7574
33,0.033,0.6698,0.8297,0.7574
34,0.034,0.6703,0.828,0.7568
35,0.035,0.6739,0.828,0.7586
36,0.036,0.6758,0.8247,0.7579
37,0.037,0.6767,0.8247,0.7584
38,0.038,0.6763,0.823,0.7573
39,0.039,0.6781,0.823,0.7582
40,0.04,0.6786,0.8247,0.7593
41,0.041,0.6823,0.8247,0.7612
42,0.042,0.6833,0.8247,0.7617
43,0.043,0.6842,0.8247,0.7621
44,0.044,0.6843,0.8214,0.7605
45,0.045,0.6833,0.8214,0.76
46,0.046,0.6848,0.8197,0.7598
47,0.047,0.6867,0.8197,0.7608
48,0.048,0.6886,0.8197,0.7617
49,0.049,0.6886,0.8197,0.7617
50,0.05,0.6901,0.818,0.7615
51,0.051,0.6921,0.818,0.7625
52,0.052,0.695,0.818,0.7639
53,0.053,0.6945,0.8197,0.7646
54,0.054,0.6955,0.8197,0.7651
55,0.055,0.696,0.818,0.7644
56,0.056,0.696,0.818,0.7644
57,0.057,0.6976,0.8164,0.7643
58,0.058,0.6976,0.8164,0.7643
59,0.059,0.6976,0.8164,0.7643
60,0.06,0.6976,0.8164,0.7643
61,0.061,0.6971,0.8147,0.7632
62,0.062,0.6971,0.8147,0.7632
63,0.063,0.6967,0.813,0.7621
64,0.064,0.6954,0.808,0.7589
65,0.065,0.6984,0.808,0.7603
66,0.066,0.699,0.8063,0.7597
67,0.067,0.7016,0.8047,0.76
68,0.068,0.7026,0.8047,0.7605
69,0.069,0.7057,0.8047,0.7619
70,0.07,0.7078,0.8047,0.7629
71,0.071,0.712,0.8047,0.7649
72,0.072,0.7136,0.803,0.7647
73,0.073,0.7147,0.803,0.7652
74,0.074,0.7147,0.803,0.7652
75,0.075,0.719,0.803,0.7671
76,0.076,0.7201,0.803,0.7677
77,0.077,0.7201,0.803,0.7677
78,0.078,0.7222,0.803,0.7686
79,0.079,0.7222,0.803,0.7686
80,0.08,0.7248,0.8047,0.7707
81,0.081,0.7274,0.8063,0.7728
82,0.082,0.7274,0.8063,0.7728
83,0.083,0.7274,0.8063,0.7728
84,0.084,0.7296,0.8063,0.7738
85,0.085,0.7307,0.8063,0.7743
86,0.086,0.7318,0.8063,0.7748
87,0.087,0.734,0.8063,0.7757
88,0.088,0.7352,0.8063,0.7763
89,0.089,0.7348,0.8047,0.7752
90,0.09,0.7355,0.803,0.7746
91,0.091,0.7355,0.803,0.7746
92,0.092,0.7377,0.803,0.7755
93,0.093,0.7389,0.803,0.7761
94,0.094,0.7411,0.803,0.777
95,0.095,0.7411,0.803,0.777
96,0.096,0.7419,0.8013,0.7764
97,0.097,0.7419,0.8013,0.7764
98,0.098,0.7419,0.8013,0.7764
99,0.099,0.7419,0.8013,0.7764
100,0.1,0.743,0.8013,0.7769
101,0.101,0.7438,0.7997,0.7764
102,0.102,0.7449,0.7997,0.7768
103,0.103,0.7449,0.7997,0.7768
104,0.104,0.7461,0.7997,0.7774
105,0.105,0.7473,0.7997,0.7779
106,0.106,0.7473,0.7997,0.7779
107,0.107,0.7469,0.798,0.7767
108,0.108,0.7476,0.7963,0.7761
109,0.109,0.7469,0.793,0.7739
110,0.11,0.7469,0.793,0.7739
111,0.111,0.7469,0.793,0.7739
112,0.112,0.748,0.793,0.7744
113,0.113,0.75,0.7913,0.7742
114,0.114,0.75,0.7913,0.7742
115,0.115,0.7508,0.7896,0.7736
116,0.116,0.7504,0.788,0.7725
117,0.117,0.7504,0.788,0.7725
118,0.118,0.7516,0.788,0.773
119,0.119,0.7528,0.788,0.7735
120,0.12,0.7528,0.788,0.7735
121,0.121,0.7524,0.7863,0.7724
122,0.122,0.7524,0.7863,0.7724
