,C,Precision,Recall,Fscore
1,0.1,0.743,0.8013,0.7769
2,0.2,0.7951,0.7646,0.7765
3,0.3,0.8051,0.7446,0.7677
4,0.4,0.8124,0.7446,0.7703
5,0.5,0.8192,0.7412,0.7705
6,0.6,0.8209,0.7346,0.7668
7,0.7,0.8243,0.7362,0.7691
8,0.8,0.8233,0.7312,0.7655
9,0.9,0.8283,0.7329,0.7683
10,1.0,0.828,0.7312,0.7671
11,1.1,0.8251,0.7245,0.7616
12,1.2,0.8273,0.7195,0.7591
13,1.3,0.8285,0.7179,0.7584
14,1.4,0.8301,0.7179,0.7589
15,1.5,0.8346,0.7162,0.7593
16,1.6,0.835,0.7179,0.7606
17,1.7,0.8343,0.7145,0.758
18,1.8,0.834,0.7129,0.7569
19,1.9,0.832,0.7112,0.7551
20,2.0,0.8337,0.7112,0.7556
21,2.1,0.8383,0.7095,0.756
22,2.2,0.8383,0.7095,0.756
23,2.3,0.8402,0.7112,0.7577
24,2.4,0.8396,0.7078,0.7552
25,2.5,0.8402,0.7112,0.7577
26,2.6,0.8399,0.7095,0.7565
27,2.7,0.8399,0.7095,0.7565
28,2.8,0.8399,0.7095,0.7565
29,2.9,0.8399,0.7095,0.7565
30,3.0,0.8396,0.7078,0.7552
31,3.1,0.8379,0.7078,0.7547
32,3.2,0.8379,0.7078,0.7547
33,3.3,0.8399,0.7095,0.7565
34,3.4,0.8399,0.7095,0.7565
35,3.5,0.8379,0.7078,0.7547
36,3.6,0.8379,0.7078,0.7547
37,3.7,0.8379,0.7078,0.7547
38,3.8,0.8376,0.7062,0.7535
39,3.9,0.8376,0.7062,0.7535
40,4.0,0.836,0.7062,0.753
41,4.1,0.836,0.7062,0.753
42,4.2,0.836,0.7062,0.753
43,4.3,0.8343,0.7062,0.7524
44,4.4,0.8356,0.7045,0.7517
45,4.5,0.8356,0.7045,0.7517
46,4.6,0.8353,0.7028,0.7504
47,4.7,0.8353,0.7028,0.7504
48,4.8,0.835,0.7012,0.7492
49,4.9,0.8333,0.7012,0.7487
50,5.0,0.8333,0.7012,0.7487
51,5.1,0.835,0.7012,0.7492
52,5.2,0.835,0.7012,0.7492
53,5.3,0.835,0.7012,0.7492
54,5.4,0.8347,0.6995,0.748
55,5.5,0.8347,0.6995,0.748
56,5.6,0.8333,0.7012,0.7487
57,5.7,0.833,0.6995,0.7474
58,5.8,0.8327,0.6978,0.7462
59,5.9,0.8327,0.6978,0.7462
60,6.0,0.8323,0.6962,0.7449
61,6.1,0.8323,0.6962,0.7449
62,6.2,0.8323,0.6962,0.7449
63,6.3,0.8327,0.6978,0.7462
64,6.4,0.831,0.6978,0.7456
65,6.5,0.8294,0.6978,0.7451
66,6.6,0.8294,0.6978,0.7451
67,6.7,0.8277,0.6978,0.7445
68,6.8,0.8274,0.6962,0.7433
69,6.9,0.8257,0.6962,0.7428
70,7.0,0.8257,0.6962,0.7428
71,7.1,0.8257,0.6962,0.7428
72,7.2,0.8261,0.6978,0.744
